max_rate,tau_gradient,tracking_rms,tracking_rms_std,pct_within_tolerance,peak_gradient,peak_gradient_max,mean_gradient,gradient_integral,gradient_integral_std,sunset_error_mean,sunset_error_std
0.3,2.0,0.8086196376661968,0.5930904043850269,34.96841363862215,0.398217904784495,0.5858152979971925,0.2318033877191823,0.9019949318940551,0.662443099362389,-0.02684739908646511,0.0666344763024569
0.5,2.0,0.5706516362483867,0.4201157447833099,48.46912555510125,0.531293128913783,0.9752039913187949,0.29775154879630444,1.555842207311263,1.3942239225239212,-0.05391776676351781,0.09138056016276364
0.7,2.0,0.4431315157959352,0.3203266512448663,58.62429318502097,0.6009046027487772,1.2994141069564655,0.3285848809124451,1.9267634138391063,1.862984623582831,-0.08211757763836243,0.10562549911260306
1.0,2.0,0.3444617545915519,0.2468619187519076,69.08386468182427,0.6551724677668544,1.626789732713255,0.35058137210043605,2.1979611200405027,2.166154934247535,-0.1198038640263187,0.11747606084357938
1.25,2.0,0.2986274555020031,0.20978982428115983,74.37997918736691,0.681518880987879,1.874412444396441,0.3604618427594917,2.323477287146716,2.309478254932731,-0.14568801822290342,0.12366310065068427
1.5,2.0,0.26814402887739197,0.18200230843999116,78.22938259923131,0.7021454697752191,2.11773819593956,0.36739666728681286,2.4162891012382066,2.433865836846276,-0.16842069721412628,0.12851079562364898
2.0,2.0,0.23293832923896762,0.14775901419359974,82.57946123836531,0.7288258962818196,2.47553026342493,0.37570624014520815,2.531912291155923,2.582695201212954,-0.20394944166740706,0.1356696014670887
0.3,2.5,0.8086196376661968,0.5930904043850269,34.96841363862215,0.47130805383377145,0.7239696290509707,0.2716125628704051,1.2625036529225548,0.9500534413276313,-0.02684739908646511,0.0666344763024569
0.5,2.5,0.5706516362483867,0.4201157447833099,48.46912555510125,0.6198437951162304,1.2046093373020634,0.34967714195072686,2.1736708335299118,1.9992302849145076,-0.05391776676351781,0.09138056016276364
0.7,2.5,0.4431315157959352,0.3203266512448663,58.62429318502097,0.6944242748106377,1.5815230372709213,0.3858350150910855,2.681175071619543,2.6680663524881356,-0.08211757763836243,0.10562549911260306
1.0,2.5,0.3444617545915519,0.2468619187519076,69.08386468182427,0.751061050246712,1.9580788305753964,0.4112878990925579,3.0417116000540823,3.098580192075522,-0.1198038640263187,0.11747606084357938
1.25,2.5,0.2986274555020031,0.20978982428115983,74.37997918736691,0.7776221603563667,2.232537956944493,0.42250804097785144,3.203522355334768,3.297655791167787,-0.14568801822290342,0.12366310065068427
1.5,2.5,0.26814402887739197,0.18200230843999116,78.22938259923131,0.7980950545256883,2.5013810585724006,0.43028065390367065,3.3210660463615778,3.467912276451998,-0.16842069721412628,0.12851079562364898
2.0,2.5,0.23293832923896762,0.14775901419359974,82.57946123836531,0.8250216229950724,2.89398719807254,0.43952462044922097,3.4630646913630945,3.6597720608387454,-0.20394944166740706,0.1356696014670887
0.3,3.0,0.8086196376661968,0.5930904043850269,34.96841363862215,0.5365812642863483,0.8551357090435312,0.30612139064473687,1.6300755812510848,1.2491634401190705,-0.02684739908646511,0.0666344763024569
0.5,3.0,0.5706516362483867,0.4201157447833099,48.46912555510125,0.697845178933621,1.4220364967330517,0.39496126495329786,2.8056621944192006,2.6291646809348803,-0.05391776676351781,0.09138056016276364
0.7,3.0,0.4431315157959352,0.3203266512448663,58.62429318502097,0.7762133699932164,1.8527154249810116,0.4361373495234301,3.4537462108091233,3.5078275676637904,-0.08211757763836243,0.10562549911260306
1.0,3.0,0.3444617545915519,0.2468619187519076,69.08386468182427,0.8345415767150561,2.2591023014414757,0.46485459490035025,3.9065627899151694,4.07540118933611,-0.1198038640263187,0.11747606084357938
1.25,3.0,0.2986274555020031,0.20978982428115983,74.37997918736691,0.861283171853337,2.554864634358051,0.47740212888811934,4.10569434214537,4.335028714568098,-0.14568801822290342,0.12366310065068427
1.5,3.0,0.26814402887739197,0.18200230843999116,78.22938259923131,0.8820627142441312,2.844023547371295,0.48598314678600407,4.248379916619839,4.554592560217018,-0.16842069721412628,0.12851079562364898
2.0,3.0,0.23293832923896762,0.14775901419359974,82.57946123836531,0.9088259381065705,3.2733208273044205,0.4960831506277784,4.41687869923974,4.792002754809721,-0.20394944166740706,0.1356696014670887
